,data_index,cluster
0,89,2
1,107,0
2,173,0
3,183,0
4,10109,0
5,10117,0
6,10119,2
7,10125,0
8,10126,0
9,10135,1
10,10201,0
11,10237,2
12,10239,0
13,10244,0
14,10245,0
15,10249,0
16,10253,0
17,10254,0
18,10267,0
19,10268,2
20,10270,2
21,10272,0
22,10274,1
23,10277,0
24,10285,0
25,10288,2
26,10294,0
27,10296,2
28,10297,0
29,10302,0
30,10304,0
31,10309,0
32,10310,1
33,10313,0
34,10319,0
35,10323,0
36,10336,0
37,10339,2
38,10354,1
39,10356,0
40,10359,0
41,10370,0
42,10384,0
43,10403,1
44,10406,1
45,10415,1
46,10423,0
47,10427,1
48,10428,1
49,10430,2
50,10432,2
51,10438,0
52,10442,2
53,10448,0
54,10449,1
55,10451,0
56,10452,0
57,10458,0
58,10466,0
59,10467,2
60,10495,0
61,10499,2
62,10502,1
63,10515,0
64,10519,0
65,10525,1
66,10527,0
67,10554,1
68,10718,2
69,10724,1
70,10740,0
71,10748,0
72,10778,0
73,10785,0
74,10798,0
75,10802,1
76,10803,0
77,10804,1
78,10816,0
79,10819,0
80,10827,0
81,10830,1
82,10831,0
83,10836,1
84,10846,2
85,10859,0
86,10868,0
87,10874,1
88,10882,0
89,10883,1
90,10884,0
91,10887,1
92,10900,2
93,10918,1
94,10931,0
95,10932,1
96,10934,0
97,10935,0
98,10937,1
99,10938,1
100,10942,2
101,10948,0
102,10956,1
103,10985,1
104,10987,1
105,10992,1
106,10993,1
107,10994,1
108,11011,1
109,11019,0
110,11022,0
111,11024,2
112,11025,2
113,11041,0
114,11043,1
115,11044,1
116,11045,0
117,11050,1
118,11051,2
119,11055,0
120,11062,0
121,11063,0
122,11071,0
123,11077,1
124,11078,1
125,11089,0
126,11137,0
127,11138,0
128,11144,1
129,11148,0
130,11160,1
131,11169,1
132,11177,0
133,11181,0
134,11238,2
135,11240,1
136,11243,2
137,11246,1
138,11252,1
139,11261,1
140,11270,1
141,11271,0
142,11279,1
143,11300,1
144,11307,0
145,11311,0
146,11324,0
147,11331,0
148,11332,1
149,11335,2
150,11340,1
151,11362,2
152,11372,0
153,11374,0
154,11376,1
155,11381,0
156,11390,2
157,11393,0
158,11396,1
159,11409,1
160,11414,0
161,11419,0
162,11431,0
163,11436,2
164,11438,0
165,11439,0
166,11445,2
167,11452,1
168,11455,1
169,11462,0
170,11471,1
171,11478,0
172,11486,2
173,11495,2
174,11501,1
175,11503,2
176,11520,0
177,11535,0
178,11544,0
179,11545,1
180,11548,0
181,11550,2
182,11551,1
183,11555,0
184,11559,0
185,11561,1
186,11562,1
187,11570,0
188,11573,1
189,11588,1
190,11594,0
191,11601,0
192,11602,2
193,11611,0
194,11619,2
195,11624,2
196,11626,1
197,11650,1
198,11652,2
199,11661,1
200,11667,0
201,11685,0
202,11699,0
203,11702,1
204,11703,1
205,11706,0
206,11710,0
207,11715,0
208,11718,0
209,11722,0
210,11726,0
211,11734,0
212,11737,1
213,11766,0
214,11780,1
215,11784,1
216,11785,0
217,11799,0
218,11806,0
219,11811,1
220,11815,2
221,11816,0
222,11841,0
223,11870,0
224,11873,0
225,11877,1
226,11902,0
227,11903,0
228,11908,1
229,11911,2
230,11918,0
231,11938,0
232,11948,0
233,11952,1
234,11959,0
235,11965,0
236,11985,1
237,11996,0
238,11997,0
239,11998,2
240,12009,2
241,12018,0
242,12027,1
243,12058,0
244,12065,0
245,12081,1
246,12102,1
247,12103,1
248,12128,1
249,12133,0
250,12135,0
251,12154,2
252,12171,1
253,12183,1
254,12185,1
255,12192,1
256,12217,2
257,12229,0
258,12230,1
259,12234,2
260,12260,0
261,12318,1
262,12368,0
263,12376,0
264,12377,1
265,12398,2
266,12414,1
267,12423,1
268,12441,0
269,12451,0
270,12453,2
271,12461,0
272,12466,2
273,12468,1
274,12471,0
275,12472,1
276,12473,1
277,12492,0
278,12494,0
279,12500,2
280,12503,2
281,12506,1
282,12507,0
283,12512,2
284,12516,0
285,12526,0
286,12532,1
287,12537,0
288,12544,0
289,12545,2
290,12546,0
291,12548,0
292,12551,0
293,12570,1
294,12575,0
295,12593,0
296,12605,1
297,12632,0
298,12657,0
299,12668,0
300,12672,0
301,12680,1
302,12681,2
303,12702,0
304,12735,0
305,12737,1
306,12747,1
307,12756,0
308,12758,2
309,12762,2
310,12795,1
311,12809,0
312,12817,1
313,12825,1
314,12836,0
315,12856,1
316,12863,0
317,12872,2
318,12898,0
319,12910,0
320,12931,0
321,12943,0
322,13000,1
323,13003,2
324,13007,0
325,13021,0
326,13024,0
327,13035,0
328,13048,0
329,13051,0
330,13054,0
331,13071,0
332,13073,1
333,13081,1
334,13097,0
335,13104,0
336,13123,1
337,13127,0
338,13143,0
339,13144,0
340,13172,1
341,13184,1
342,13185,0
343,13190,0
344,13191,1
345,13199,0
346,13215,2
347,13226,0
348,13253,0
349,13258,1
350,13274,1
351,13318,0
352,13336,1
353,13346,0
354,13362,0
355,13371,1
356,13395,0
357,13397,1
358,13399,0
359,13423,0
360,13427,0
361,13430,2
362,13453,0
363,13459,1
364,13483,0
365,13491,0
366,13533,1
367,13558,0
368,13561,1
369,13562,0
370,13575,0
371,13593,1
372,13619,2
373,13620,0
374,13622,1
375,13623,1
376,13624,2
377,13625,0
378,13640,0
379,13662,0
380,13674,0
381,13689,2
382,13695,0
383,13697,1
384,13698,1
385,13699,1
386,13729,0
387,13745,2
388,13749,1
389,13752,0
390,13761,1
391,13783,0
392,13799,0
393,13811,2
394,13823,0
395,13825,1
396,13831,0
397,13841,1
398,13854,0
399,13856,0
400,13858,1
401,13870,1
402,13877,2
403,13882,0
404,13883,0
405,13900,0
406,13913,0
407,13918,1
408,13959,2
409,13961,1
410,13965,0
411,14004,1
412,14016,0
413,14024,0
414,14028,0
415,14030,0
416,14032,0
417,14049,1
418,14085,2
419,14092,0
420,14093,0
421,14095,0
422,14096,1
423,14098,1
424,14099,0
