,Users_ID,Clusters
0,89,5
1,107,3
2,173,2
3,183,10
4,10109,6
5,10117,2
6,10119,8
7,10125,3
8,10126,1
9,10135,5
10,10201,3
11,10237,8
12,10239,4
13,10244,9
14,10245,2
15,10249,10
16,10253,3
17,10254,3
18,10267,3
19,10268,8
20,10270,5
21,10272,7
22,10274,1
23,10277,6
24,10285,1
25,10288,5
26,10294,1
27,10296,8
28,10297,10
29,10302,9
30,10304,3
31,10309,10
32,10310,2
33,10313,3
34,10319,3
35,10323,7
36,10336,10
37,10339,8
38,10354,2
39,10356,3
40,10359,10
41,10370,10
42,10384,9
43,10403,5
44,10406,2
45,10415,4
46,10423,3
47,10427,2
48,10428,5
49,10430,8
50,10432,8
51,10438,3
52,10442,8
53,10448,1
54,10449,4
55,10451,1
56,10452,1
57,10458,3
58,10466,3
59,10467,8
60,10495,10
61,10499,8
62,10502,2
63,10515,3
64,10519,6
65,10525,7
66,10527,3
67,10554,7
68,10718,5
69,10724,6
70,10740,3
71,10748,1
72,10778,3
73,10785,1
74,10798,10
75,10802,2
76,10803,3
77,10804,1
78,10816,1
79,10819,3
80,10827,3
81,10830,6
82,10831,7
83,10836,6
84,10846,8
85,10859,1
86,10868,1
87,10874,3
88,10882,9
89,10883,7
90,10884,3
91,10887,4
92,10900,8
93,10918,6
94,10931,10
95,10932,7
96,10934,1
97,10935,7
98,10937,1
99,10938,7
100,10942,8
101,10948,7
102,10956,9
103,10985,6
104,10987,10
105,10992,7
106,10993,2
107,10994,2
108,11011,7
109,11019,7
110,11022,3
111,11024,8
112,11025,5
113,11041,3
114,11043,2
115,11044,2
116,11045,3
117,11050,4
118,11051,5
119,11055,3
120,11062,9
121,11063,10
122,11071,1
123,11077,4
124,11078,7
125,11089,2
126,11137,10
127,11138,4
128,11144,2
129,11148,7
130,11160,7
131,11169,9
132,11177,6
133,11181,2
134,11238,8
135,11240,6
136,11243,5
137,11246,6
138,11252,3
139,11261,4
140,11270,2
141,11271,3
142,11279,7
143,11300,6
144,11307,9
145,11311,7
146,11324,7
147,11331,10
148,11332,2
149,11335,8
150,11340,7
151,11362,8
152,11372,1
153,11374,3
154,11376,4
155,11381,10
156,11390,8
157,11393,4
158,11396,7
159,11409,4
160,11414,10
161,11419,9
162,11431,4
163,11436,8
164,11438,3
165,11439,10
166,11445,6
167,11452,7
168,11455,2
169,11462,1
170,11471,2
171,11478,4
172,11486,8
173,11495,8
174,11501,5
175,11503,5
176,11520,7
177,11535,7
178,11544,10
179,11545,7
180,11548,1
181,11550,8
182,11551,2
183,11555,7
184,11559,3
185,11561,6
186,11562,4
187,11570,6
188,11573,5
189,11588,7
190,11594,10
191,11601,7
192,11602,8
193,11611,10
194,11619,8
195,11624,2
196,11626,5
197,11650,9
198,11652,8
199,11661,7
200,11667,3
201,11685,3
202,11699,4
203,11702,8
204,11703,10
205,11706,10
206,11710,3
207,11715,3
208,11718,10
209,11722,10
210,11726,1
211,11734,3
212,11737,2
213,11766,4
214,11780,7
215,11784,4
216,11785,1
217,11799,7
218,11806,7
219,11811,2
220,11815,8
221,11816,9
222,11841,1
223,11870,1
224,11873,3
225,11877,6
226,11902,3
227,11903,10
228,11908,7
229,11911,4
230,11918,3
231,11938,10
232,11948,9
233,11952,2
234,11959,1
235,11965,1
236,11985,9
237,11996,3
238,11997,7
239,11998,2
240,12009,8
